id,question,answer,wrong1,wrong2,wrong3,source,difficulty
827,Which English king was victorious at 1415's Battle of Agincourt?,Henry V,Henry II,Henry III,Henry IV,au,10
828,Worn by the pope is the whose ring?,Fisherman's,Carpenter's,Pauper's,Shepherd's,au,10
829,Dulcinea is the object of affection of which fictional hero?,Don Quixote,Jean Valjean,D'Artagnan,Robinson Crusoe,au,10
830,America's Apollo lunar missions were sent into space aboard the three-stage what rocket?,Saturn V,Mercury V,Jupiter V,Neptune V,au,10
831,When did Halley's Comet first make its appearance to the naked eye last century?,1910,1908,1909,1911,au,10
832,Which US astronaut was the third man to walk on the moon?,Pete Conrad,Michael Collins,James Lovell,Alan Shepard,au,10
833,"In the Bible, Noah's ark was made of what timber?",Gopherwood,Briarwood,Ironwood,Rosewood,au,10
834,"In 1965, the Mariner 4 spacecraft transmitted the first close-range images of which planet?",Mars,Mercury,Jupiter,Neptune,au,10
835,The English newspaper 'The Guardian' was founded as 'The what Guardian'?,Manchester,Birmingham,Leeds,Liverpool,au,10
836,Attacking the leaves of potato plants is the what beetle?,Colorado,Idaho,Nebraska,Kansas,au,10
837,1757's Battle of Plassey was fought in which country?,India,Egypt,France,Germany,au,10
838,What was the twelfth and last month in the French Revolutionary calendar?,Fructidor,Brumaire,Frimaire,Thermidor,au,10
839,"When was the African Union established, as the Organization of African Unity?",1960s,1920s,1940s,1980s,au,10
840,Where was great 20th-century composer Aram Khachaturian born?,Georgia,Armenia,Kazakhstan,Ukraine,au,10
841,Which letter of the alphabet is the shape of an ogee?,S,J,L,U,au,10
842,Which is not a traditional colour of one of the four balls used in Association croquet?,Green,Blue,Red,Yellow,au,10
843,The ancient city ruins of Nineveh are located on the river Tigris opposite which Iraqi city?,Mosul,Baghdad,Kirkuk,Najaf,au,10
844,The film 'Eternal Sunshine of the Spotless Mind' takes its title from a line by which poet?,Alexander Pope,Thomas Gray,John Dryden,William Blake,au,10
845,Henri Dunant founded the Red Cross after witnessing which battle?,Solferino,Volturno,Magenta,Sadowa,au,10
846,From what is the orange-red dye henna obtained?,A leaf,A seed,A berry,A root,au,10
847,Singer Buddy Holly was born in which city in Texas?,Lubbock,Abilene,Midland,Amarillo,au,10
848,How many oxygen atoms constitute each molecule of the compound potassium permanganate?,Four,One,Two,Three,au,10
849,Russian Lev Landau won which Nobel Prize category in 1962?,Physics,Chemistry,Economics,Literature,au,10
850,Botulism chiefly derives its name from the Latin word for which type of meat?,Sausage,Bacon,Mutton,Veal,au,10
851,The penalty spot on a soccer pitch is normally how many metres from the goal line?,11,10,12,13,au,10
852,"According to the popular phrase, how many does it take to tango?",Two,Four,Six,One,uk,1
853,Which was the title of Village People's UK No 1 single?,YMCA,RSPCA,NATO,UNESCO,uk,1
854,What type of play is Shakespeare's 'Macbeth'?,Tragedy,Musical,Farce,Slapstick,uk,1
855,Who prowled the streets of Whitechapel in the late 1880s?,Jack the Ripper,Jack the Slipper,Jack the Kipper,Jack the Dripper,uk,1
856,Complete the name of the famous US horse race 'The Kentucky ...'?,Derby,Durham,Dover,Darlington,uk,1
857,"In Egyptian mythology, what had the head of a man and the body of a lion?",Sphinx,Lynx,Stinx,Minx,uk,1
858,The series of battles that started at St Albans in 1455 were the Wars of the ...?,Roses,Daisies,Lilacs,Pansies,uk,1
859,Which US inventor designed a whirlpool pump for bath tubs?,Candido Jacuzzi,Pedro Pumpo,Willie Whirlo,Billy Bubblio,uk,1
860,Which island is part of New York City?,Long Island,Short Island,Narrow Island,Wide Island,uk,1
861,"Complete the name of the rock group, 'The Rolling ...'?",Stones,Hills,Eyes,Pins,uk,1
862,Which colour does not appear on the Union Jack?,Green,Red,White,Blue,uk,1
863,Which of the following is not a rank in the British peerage?,Chap,Duke,Earl,Marquess,uk,1
864,Which is an official document allowing people to travel between countries?,Passport,Passwine,Passplonk,Passbubbly,uk,1
865,Which breed of dog is also a type of men's underwear?,Boxer,Beagle,Borzoi,Bloodhound,uk,1
866,"According to the song by Burt Bacharach, what 'Keep Fallin' On My Head'?",Raindrops,Stars,Sunbeams,Scaffolding,uk,1
867,In which code are dots and dashes used to represent characters?,Morse,Frost,Wycliffe,Poirot,uk,1
868,"According to the saying, what colour does the pot call the kettle?",Black,Blue,Puce,White,uk,1
869,What is the title of Margaret Mitchell's only novel?,Gone With the Wind,Gone With the Hail,Gone With the Rain,Gone With the Snow,uk,1
870,Which of these is a home-made petrol bomb?,Molotov Cocktail,Harvey Wallbanger,Pina Colada,Tom Collins,uk,1
871,"Complete the well known phrase, 'Like a red rag to a ...'?",Bull,Sheep,Fish,Spider,uk,1
872,How was singer Henry John Deutschendorf better known?,John Denver,John Colorado,John Arizona,John Utah,uk,1
873,"What links a musical, and the device on which your luggage appears at the airport?",Carousel,Oklahoma,Evita,Cats,uk,1
874,Which short Italian word can mean either 'hello' or 'goodbye'?,Ciao,Fiat,Pasta,Vino,uk,1
875,Which of the following is a famous landmark in Paris?,Eiffel Tower,Piffel Heights,Waffel Block,Drivel Rise,uk,1
876,Which of the following is a name for Ireland?,Emerald Isle,Scarlet Reef,Azure Eyot,Sable Sandbank,uk,1
877,Which is the second book of the Old Testament?,Exodus,Getoutahere,Runaway,Beatit,uk,1
878,What term is used for an insincere show of grief?,Crocodile tears,Weasle words,Snake sobs,Hyena howls,uk,1
879,How are the Prime Minister and senior ministers known collectively?,The Cabinet,The Chest,The Wardrobe,The Dresser,uk,1
880,Which would you not expect to find in a pack of playing cards?,Sapphires,Clubs,Spades,Diamonds,uk,1
881,What common name is given to an area near your elbow?,Funny bone,Chuckle muscle,Giggle nerve,Laughter line,uk,1
882,Which is part of the British police force?,Special Branch,Particular Root,Unique Twig,Singular Leaf,uk,1
883,Which would you use for telling the future?,Tarot cards,Business cards,Birthday cards,Credit cards,uk,1
884,Which of the following is a geological period?,Jurassic,Boracic,Acidic,Frantic,uk,1
885,Which Chinese martial art was popularised in the films of Bruce Lee?,Kung fu,Dim sum,Chop suey,Ho Chi Minh,uk,1
886,By what popular name is the bell tower of Pisa cathedral known?,Leaning Tower,Wobbly Garret,Bendy Spire,Inclining Steeple,uk,1
887,What word is used to mean 'the centre of attention'?,Limelight,Orangelight,Lemonlight,Citruslight,uk,1
888,What was Humpty Dumpty sitting on when he fell?,Wall,Horse,Bicycle,Drawing pin,uk,1
889,Where do you go when recalling a pleasant past?,Memory Lane,Pastimes Place,Reminiscence Park,Recall Street,uk,1
890,Which of these can be a head of state or a measuring implement?,Ruler,Tape-measure,Odometer,Barometer,uk,1
891,What name is given to an ancient Egyptian preserved human being?,Mummy,Daddy,Aunty,Granny,uk,1
892,"According to legend, what shape was King Arthur's table?",Round,Square,Oval,Oblong,uk,1
893,How many musicians are there in a quartet?,4,2,6,8,uk,1
894,What is a common word for a fake doctor?,Quack,Woof,Gobble,Purr,uk,1
895,Which of these are dark patches on the solar surface?,Sunspots,Sunpimples,Sunzits,Sunacne,uk,1
896,"Who is missing from this line-up:John, Paul, George and ...?",Ringo,Dingo,Gringo,Stingo,uk,1
897,Which of these is formed from oxygen?,Ozone,Boyzone,Warzone,Timezone,uk,1
898,What colour was the brick road followed by Dorothy and friends?,Yellow,Red,Pink,Green,uk,1
899,On which continent is the geographical South Pole?,Antarctica,South America,Australia,Asia,uk,1
900,Canada has land borders with only one other country: which one?,USA,Mexico,Greenland,Russia,uk,1
901,What is the name of Walt Disney's ill-tempered duck?,Donald,Ronald,Desmond,Beaky,uk,1
902,In which activity might the Lotus position be adopted?,Yoga,Weightlifting,Chess,Ice skating,uk,1
903,"In the nursery rhyme, how many 'blind mice' are there?",Three,Two,Six,Four,uk,1
904,Which phrase means one who likes lounging at home watching TV?,Couch potato,Bed bean,Sofa slouch,Divan dreamer,uk,1
905,The stage name of which US singer was a derivation of the name Fats Domino?,Chubby Checker,Fatty Chess,Portly Drafts,Podgy Winks,uk,1
906,Which word describes trees that shed their leaves each year?,Deciduous,Delicious,Delectable,Decimal,uk,1
907,"According to the saying, what grow from tiny acorns?",Mighty oaks,Big acorns,Monsters,Hair,uk,1
908,Which of the following means 'a group of islands'?,Archipelago,A cappella,Achilles,Armadillo,uk,1
909,What name is given to an artist's last performance?,Swan song,Duck ditty,Fond farewell,Last gasp,uk,1
910,What might you be said to 'flog' if you are wasting your time?,Dead horse,Lazy susan,Scalded cat,Lame donkey,uk,1
911,"Who, in the 'Star Wars' films, inherited Jedi powers?",Luke Skywalker,Mark Moonraker,Max Skyscraper,Jack Stargazer,uk,1
912,On what did Noah and his family survive the Flood?,Ark,Catamaran,Speedboat,Canoe,uk,1
913,What is an exorcist supposed to get rid of?,Evil spirits,Weeds,Rubbish,Tooth ache,uk,1
914,"In the Bible, in which garden did Adam and Eve live?",Eden,Sissinghurst,Kew,Wisley,uk,1
915,What traditionally is left out for Father Christmas to fill on Christmas Eve?,Stocking,Suspenders,Vest,Pants,uk,1
916,What is the name of the administrative centre of the Russian government?,Kremlin,Gremlin,Goblin,Hoblin,uk,1
917,Which of these countries is split in two by a famous canal?,Panama,Argentina,Libya,Australia,uk,1
918,Who was the first president of the USA?,Washington,Chicago,Philadelphia,Baltimore,uk,1
919,Under what title did Warner Brothers release many of their cartoon shorts?,Looney Tunes,Batty Songs,Crazy Carols,Silly Jingles,uk,1
920,Which of these is an offensive weapon?,Knuckle duster,Finger polisher,Wrist wiper,Nail cleaner,uk,2
921,Which of these is a European capital city?,Bern,Skald,Synge,Boil,uk,2
922,Which of these is a major city in southern France?,Toulouse,Toutight,Touearly,Toulate,uk,2
923,What is the name for a young goat?,Kid,Toddler,Brat,Rugrat,uk,2
924,Complete the title of the Shakespeare play 'The Two Gentlemen of ...'?,Verona,Vietnam,Venezuela,Vladivostok,uk,2
925,By which part of his body was Achilles held when he was dipped in the River Styx?,Heel,Pinkie,Elbow,Big toe,uk,2
926,What name is given to the first 10 amendments to the Constitution of the USA?,Bill of Rights,Ben of Rights,Barry of Rights,Brian of Rights,uk,2
927,Which of these is a branch of the British armed forces?,RAF,BBC,CND,S4C,uk,2
928,Which of these is a national daily newspaper in the UK?,The Sun,The Moon,The Meteor,The Comet,uk,2
929,Which of the following is an alkaloid drug found in tea leaves and coffee beans?,Caffeine,Ethane,Bromine,Iodine,uk,2
930,What is the day after Christmas Day called?,Boxing Day,Weightlifting Day,Judo Day,Karate Day,uk,2
931,Which cat created by Lewis Carroll has a broad fixed grin?,Cheshire cat,Suffolk cat,Devon cat,Essex cat,uk,2
932,Which of the following is the design or arrangement of staged dance?,Choreography,Photography,Typography,Bibliography,uk,2
933,For which of these purposes would jump-leads normally be used?,Start a car,Ride a horse,Snare a rabbit,Catch a kangaroo,uk,2
934,In which film did Pierce Brosnan make his debut as James Bond?,Goldeneye,Silverleg,Copperbottom,Bronzefinger,uk,2
935,Who is famous for the gunfight at the OK Corral?,Wyatt Earp,Wayne Dweek,Winston Gwock,Whata Twerp,uk,2
936,What word is used to describe bad acting or a bad actor?,Ham,Salami,Sausage,Bacon,uk,2
937,Which is a mountain pass in the Hindu Kush?,Khyber Pass,Rugby Pass,Buck Pass,Port Pass,uk,2
938,Which is the fastest pace of a horse?,Gallop,Trot,Walk,Canter,uk,2
939,Which international distress signal is used by ships and aircraft?,Mayday,Juneday,Aprilday,Novemberday,uk,2
940,Guy Fawkes was involved in which famous plot?,Gunpowder,Gunboat,Gunshot,Gundog,uk,2
941,What name is given to the administrative head of an university or college?,Dean,Dan,David,Dudley,uk,2
942,Who would live in a monastery?,Monk,Student,King,Soldier,uk,2
943,Which doctor could speak to the animals?,Dr Dolittle,Dr Watson,Dr No,Dr Zhivago,uk,2
944,Which of these animals is a pedestrian crossing?,Zebra,Lion,Elephant,Giraffe,uk,2
945,According to the saying 'a man's house is his' - what?,Castle,Tent,Bungalow,Caravan,uk,2
946,Which of these is an American military decoration?,Purple Heart,Orange Liver,Crimson Kidney,Pink Lung,uk,2
947,Which of these was a cult film of the 1990s?,Trainspotting,Stamp collecting,Line dancing,Morris dancing,uk,2
948,What general name applies to European imitations of American westerns?,Spaghetti westerns,Pasta pictures,Carbonara cowboys,Fettucine flicks,uk,2
949,In the Elvis Presley song what is at the end of 'Lonely Street'?,Heartbreak Hotel,Nightmare Motel,Crying Cottage,Depression House,uk,2
950,Which Israeli coastal city shares its name with a type of biscuit?,Jaffa,Haifa,Gaza,Ashdod,uk,2
951,On which river does the city of Cairo stand?,Nile,Tyne,Shannon,Thames,uk,2
952,"What metaphorically, would you hand to someone as a gesture of peace?",Olive branch,One pound,Lager,Girlfriend,uk,2
953,Which name is synonymous with the University of Paris?,Sorbonne,Sherbet,Sorbet,Sordid,uk,2
954,Which two letters indicate that someone is a Member of Parliament?,MP,MC,MH,ME,uk,2
955,Which of the following is the US intelligence agency?,CIA,CBI,SBI,DBI,uk,2
956,"Which of these countries has a famous wall, allegedly visible from space?",China,Japan,Australia,Greece,uk,2
957,Which of these words means both a small amount and a dessert?,Trifle,Piffle,Tipple,Snaffle,uk,2
958,Which male first name is a prestigious award in the film world?,Oscar,Desmond,Michael,Lionel,uk,2
959,"In the famous song, to where did Frank Sinatra ask to be flown?",The moon,Around the world,On holiday,Stansted Airport,uk,2
960,"In the novel by Charles Dickens, who became Oliver Twist's best friend?",Artful Dodger,Sly Codger,Foxy Lodger,Tricky Bodger,uk,2
961,Sean Connery played a submarine commander in 'The Hunt for ...' what?,Red October,Green April,Yellow July,Orange May,uk,2
962,Which parts of a bee are used to describe something as wonderful or admirable?,Knees,Wings,Stings,Eyes,uk,2
963,Who is the heroine of the children's story 'The Three Bears'?,Goldilocks,Snow White,Sleeping Beauty,Gretel,uk,2
964,Which system of communication is made up of raised dots?,Braille,Morse,Semaphore,Tic Tac,uk,2
